timestamp,timestamp_ms,bid_price_0,bid_volume_0,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,bid_price_4,bid_volume_4,bid_price_5,bid_volume_5,bid_price_6,bid_volume_6,bid_price_7,bid_volume_7,bid_price_8,bid_volume_8,bid_price_9,bid_volume_9,bid_price_10,bid_volume_10,bid_price_11,bid_volume_11,bid_price_12,bid_volume_12,bid_price_13,bid_volume_13,bid_price_14,bid_volume_14,bid_price_15,bid_volume_15,bid_price_16,bid_volume_16,bid_price_17,bid_volume_17,bid_price_18,bid_volume_18,bid_price_19,bid_volume_19,ask_price_0,ask_volume_0,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,ask_price_4,ask_volume_4,ask_price_5,ask_volume_5,ask_price_6,ask_volume_6,ask_price_7,ask_volume_7,ask_price_8,ask_volume_8,ask_price_9,ask_volume_9,ask_price_10,ask_volume_10,ask_price_11,ask_volume_11,ask_price_12,ask_volume_12,ask_price_13,ask_volume_13,ask_price_14,ask_volume_14,ask_price_15,ask_volume_15,ask_price_16,ask_volume_16,ask_price_17,ask_volume_17,ask_price_18,ask_volume_18,ask_price_19,ask_volume_19
2026-03-17 03:59:45.857616+00:00,1773719985857,74512.46,1.14535,74512.45,0.00016,74512.31,7e-05,74512.3,7e-05,74511.52,7e-05,74510.78,0.0031,74510.55,8e-05,74510.29,7e-05,74510.28,7e-05,74509.72,7e-05,74509.54,0.00023,74509.53,0.0503,74509.47,7e-05,74508.33,8e-05,74508.12,0.00023,74508.11,0.01096,74507.73,0.00016,74507.72,0.00976,74507.7,0.003,74507.64,8e-05,74512.47,2.21253,74512.48,0.00016,74513.04,0.00023,74513.05,0.80585,74514.71,0.00132,74514.86,0.00133,74515.09,0.00132,74515.76,0.002,74516.24,7e-05,74516.61,7e-05,74517.43,0.17116,74517.63,0.002,74518.14,0.03555,74518.15,1.34425,74518.56,1.81266,74518.57,0.00056,74518.6,0.00016,74519.5,0.002,74519.55,0.02173,74519.79,0.00014
2026-03-17 03:59:47.124572+00:00,1773719987124,74512.46,1.22024,74512.45,0.00064,74512.31,7e-05,74512.3,7e-05,74511.52,7e-05,74510.78,0.0031,74510.72,0.00023,74510.71,0.09628,74510.55,0.00015,74510.29,7e-05,74510.28,7e-05,74509.72,7e-05,74509.54,0.00089,74509.53,0.05029,74509.47,7e-05,74508.82,0.05008,74508.33,8e-05,74508.12,7e-05,74508.11,0.01088,74507.73,0.00043,74512.47,0.8343,74512.48,0.00016,74513.04,7e-05,74513.05,0.0003,74513.53,7e-05,74513.8,0.00016,74513.81,0.02133,74514.71,0.00132,74514.86,0.00133,74515.09,0.00132,74515.73,0.00016,74515.76,0.002,74515.9,7e-05,74516.24,7e-05,74516.61,7e-05,74517.42,0.00032,74517.43,0.17116,74517.63,0.002,74517.69,0.003,74518.13,0.0002
2026-03-17 03:59:48.392296+00:00,1773719988392,74512.46,1.31183,74512.45,0.00029,74512.3,7e-05,74511.52,7e-05,74511.45,0.05008,74511.3,7e-05,74510.78,0.0031,74510.71,0.09628,74510.55,0.00015,74510.28,7e-05,74510.14,0.01078,74509.72,7e-05,74509.54,0.00066,74509.53,0.05022,74509.47,7e-05,74508.82,0.05022,74508.33,8e-05,74508.28,0.002,74508.11,0.01088,74507.73,0.00043,74512.47,0.73778,74512.48,0.00016,74513.04,7e-05,74514.55,0.00137,74514.71,0.00132,74514.86,0.00066,74515.9,7e-05,74516.61,7e-05,74517.24,0.00023,74517.25,0.01082,74517.63,0.002,74517.69,0.003,74518.12,0.00016,74518.13,0.88613,74518.14,0.0003,74518.15,0.84759,74518.55,7e-05,74518.56,7e-05,74518.57,0.00056,74518.65,0.02171
2026-03-17 03:59:49.661964+00:00,1773719989661,74512.46,1.25023,74512.45,0.00057,74512.3,7e-05,74511.52,7e-05,74510.78,0.0031,74510.72,0.00016,74510.71,0.09628,74510.55,0.00015,74510.28,7e-05,74510.15,0.002,74509.8,0.05008,74509.72,7e-05,74509.54,0.00066,74509.53,0.05022,74509.47,7e-05,74509.01,0.44287,74508.82,0.05022,74508.33,8e-05,74508.28,0.002,74508.11,0.01088,74512.47,0.70512,74512.48,0.00016,74513.04,7e-05,74514.71,0.00066,74515.32,0.00023,74515.33,0.01086,74515.9,7e-05,74516.61,7e-05,74517.24,0.00023,74517.25,0.01082,74517.39,0.00137,74517.63,0.002,74517.69,0.003,74518.11,0.00016,74518.12,0.88593,74518.13,0.0002,74518.14,0.0003,74518.15,0.84766,74518.49,8e-05,74518.5,0.00016
2026-03-17 03:59:50.932499+00:00,1773719990932,74512.46,0.93891,74512.45,0.00057,74512.41,7e-05,74512.3,7e-05,74511.52,0.00045,74511.3,7e-05,74510.78,0.0031,74510.72,0.00023,74510.71,0.09628,74510.55,0.00152,74510.28,7e-05,74509.9,0.00491,74509.72,0.00082,74509.54,0.00073,74509.53,0.00014,74509.47,7e-05,74508.83,0.00023,74508.82,0.05015,74508.33,8e-05,74508.28,0.002,74512.47,1.12248,74512.48,0.00016,74513.04,7e-05,74514.71,0.00066,74515.09,0.00066,74515.32,0.00016,74515.33,0.01102,74515.76,0.002,74515.9,7e-05,74516.59,0.00016,74516.6,0.02177,74516.61,7e-05,74516.97,0.00016,74516.98,0.09682,74517.25,0.01082,74517.32,7e-05,74517.39,0.00137,74517.63,0.0834,74517.69,0.003,74518.11,0.07597
2026-03-17 03:59:52.202024+00:00,1773719992202,74502.02,0.09925,74502.01,0.00049,74502.0,0.0006,74501.82,8e-05,74501.69,0.0019,74501.05,0.06159,74500.96,0.0031,74500.86,0.00023,74500.69,0.01074,74500.55,0.00016,74500.0,0.0006,74499.84,0.00016,74498.91,8e-05,74498.76,7e-05,74498.65,0.05,74498.58,8e-05,74498.48,8e-05,74498.45,0.02156,74498.07,0.00218,74498.0,0.0006,74502.03,1.9582,74502.04,0.00016,74502.18,0.39912,74502.27,0.39958,74502.33,7e-05,74502.34,7e-05,74502.49,1.04654,74504.16,0.00028,74504.54,0.002,74505.03,0.19993,74505.12,0.09666,74505.9,7e-05,74506.41,0.002,74506.96,0.04,74506.97,0.17809,74507.12,0.00023,74507.34,0.3054,74507.73,0.00023,74508.12,0.00016,74508.28,0.00209
2026-03-17 03:59:53.473329+00:00,1773719993473,74487.84,0.88207,74487.83,0.00064,74487.63,7e-05,74487.42,8e-05,74487.27,8e-05,74486.63,0.00023,74486.62,0.05015,74486.0,0.0012,74485.96,7e-05,74485.51,0.00218,74484.8,0.00477,74484.56,7e-05,74484.48,7e-05,74484.36,8e-05,74484.0,0.0012,74483.97,0.002,74483.65,0.00023,74483.64,0.01352,74483.47,7e-05,74482.91,0.00023,74487.85,2.39857,74487.86,0.00016,74488.04,0.00295,74488.05,7e-05,74488.59,7e-05,74489.28,0.00016,74489.29,0.11399,74490.05,0.00137,74490.47,0.00066,74490.56,7e-05,74490.79,0.00016,74490.8,0.02192,74491.62,7e-05,74493.07,0.003,74493.27,0.02861,74493.32,0.002,74494.48,0.88593,74494.49,0.09703,74495.19,0.00207,74495.54,0.00132
2026-03-17 03:59:54.742312+00:00,1773719994742,74487.84,0.58015,74487.83,0.00078,74487.63,7e-05,74487.42,8e-05,74487.27,8e-05,74486.99,0.00023,74486.98,0.04238,74486.7,7e-05,74486.63,7e-05,74486.62,7e-05,74486.0,0.0012,74485.96,7e-05,74485.51,0.00218,74484.56,7e-05,74484.48,7e-05,74484.36,8e-05,74484.09,0.00023,74484.08,0.01106,74484.0,0.0012,74483.47,7e-05,74487.85,2.44183,74487.86,0.00016,74488.04,0.00295,74488.05,7e-05,74488.59,7e-05,74489.28,0.00016,74489.29,0.11406,74489.58,0.002,74489.67,7e-05,74489.79,0.00016,74489.8,0.09682,74490.05,0.00137,74490.47,0.00066,74490.79,0.00016,74490.8,0.02192,74491.45,0.002,74491.62,7e-05,74493.07,0.003,74493.27,0.03267,74493.32,0.00209
2026-03-17 03:59:56.013267+00:00,1773719996013,74487.84,0.62924,74487.83,0.00078,74487.63,7e-05,74487.42,8e-05,74487.27,8e-05,74486.99,0.00023,74486.98,0.04238,74486.7,7e-05,74486.63,7e-05,74486.62,7e-05,74486.0,0.0012,74485.96,7e-05,74485.51,0.00218,74484.56,7e-05,74484.48,7e-05,74484.36,8e-05,74484.09,0.00023,74484.08,0.01106,74484.0,0.0012,74483.47,7e-05,74487.85,2.49824,74487.86,0.00016,74488.04,0.00295,74488.05,7e-05,74488.59,7e-05,74488.72,0.00016,74488.73,0.01111,74488.93,7e-05,74489.28,0.00016,74489.29,0.11406,74489.58,0.002,74489.67,7e-05,74490.05,0.00137,74490.47,0.00066,74490.79,0.00016,74490.8,0.02192,74491.45,0.002,74491.62,7e-05,74491.74,0.00016,74491.75,0.09682
2026-03-17 03:59:57.281814+00:00,1773719997281,74487.84,0.70954,74487.83,0.00047,74487.71,0.002,74487.63,7e-05,74487.42,8e-05,74487.27,8e-05,74486.99,0.00016,74486.98,0.04238,74486.7,7e-05,74486.62,7e-05,74486.1,0.00016,74486.09,0.05015,74486.0,0.0012,74485.96,7e-05,74485.84,0.002,74485.51,0.00218,74485.39,0.00016,74484.56,7e-05,74484.48,7e-05,74484.36,8e-05,74487.85,0.97656,74487.86,0.00037,74488.04,0.00295,74488.05,7e-05,74488.59,7e-05,74488.93,7e-05,74489.28,0.00023,74489.29,0.11426,74489.67,7e-05,74490.6,0.00023,74490.61,0.01068,74490.82,0.00137,74491.62,7e-05,74493.07,0.003,74493.26,7e-05,74493.27,0.0219,74493.32,9e-05,74494.49,0.00021,74494.73,0.09666,74495.19,7e-05
